OTU,week,n
ASV129,week_1,0.03272867924902558
ASV129,week_2,0.027046988941942598
ASV129,week_3,0.3767525949151042
ASV129,week_4,2.0681976032720737
ASV129,week_5,0.005193725979017347
ASV129,week_6,0
ASV129,week_7,0.007841061679751437
ASV129,week_8,0
ASV129,week_9,0.0039201850327335456
ASV129,week_10,0.10787169152618829
ASV129,week_11,0.02960200109527404
ASV129,week_12,0.001965312238981968
ASV129,week_13,0.3919495751386285
ASV129,week_14,0.14123596282432418
ASV129,week_15,0.00973510771896691
ASV129,week_16,0.01680074318581622
ASV129,week_17,0.058551437437789094
ASV129,week_18,0.01125478328289523
ASV129,week_19,0
ASV129,week_20,0.005832604257801108
ASV129,week_21,0
ASV129,week_22,0
ASV129,week_23,0
ASV1446,week_1,0.3818345912386317
ASV1446,week_2,0.4452350487365936
ASV1446,week_3,1.0367017712429043
ASV1446,week_4,0.13339654050955274
ASV1446,week_5,0.9255219694608913
ASV1446,week_6,0.21517180810187728
ASV1446,week_7,0.5116292746037814
ASV1446,week_8,0.39781936054221306
ASV1446,week_9,1.5190717001842486
ASV1446,week_10,0.5158228158434096
ASV1446,week_11,0.5387564199339876
ASV1446,week_12,0.38323588660148383
ASV1446,week_13,4.185782103961384
ASV1446,week_14,1.3718654011397644
ASV1446,week_15,0.43710633658161424
ASV1446,week_16,0.48623327337774
ASV1446,week_17,0.05074457911275056
ASV1446,week_18,0.13255633644298825
ASV1446,week_19,0.12354067576749646
ASV1446,week_20,0.14873140857392828
ASV1446,week_21,0.01457301078402798
ASV1446,week_22,0.004371584699453552
ASV1446,week_23,0.028175856205975226
ASV17,week_1,0.7091213837288876
ASV17,week_2,0.4181880597946509
ASV17,week_3,0.09734882486061419
ASV17,week_4,0.013229408976153989
ASV17,week_5,0.060247221356601224
ASV17,week_6,0.0032934460423756726
ASV17,week_7,0.007841061679751437
ASV17,week_8,0
ASV17,week_9,0.011760555098200636
ASV17,week_10,0.01078716915261883
ASV17,week_11,0
ASV17,week_12,0.014739841792364762
ASV17,week_13,0
ASV17,week_14,0.11160604055348694
ASV17,week_15,0
ASV17,week_16,0.008894511098373293
ASV17,week_17,9.758572906298183e-4
ASV17,week_18,0
ASV17,week_19,0
ASV17,week_20,0
ASV17,week_21,0
ASV17,week_22,0
ASV17,week_23,4.946320136021375
ASV1925,week_1,23.176863799105416
ASV1925,week_2,26.380176637643167
ASV1925,week_3,23.152584800940616
ASV1925,week_4,37.65751265062233
ASV1925,week_5,32.22395346421523
ASV1925,week_6,37.08420243715007
ASV1925,week_7,44.265733580326774
ASV1925,week_8,68.98285938804577
ASV1925,week_9,65.50531185071935
ASV1925,week_10,56.82582644425486
ASV1925,week_11,22.519722333229726
ASV1925,week_12,46.74789957254459
ASV1925,week_13,48.53791837874496
ASV1925,week_14,43.291291765844605
ASV1925,week_15,68.74251613594105
ASV1925,week_16,47.72300515881644
ASV1925,week_17,70.82967386849347
ASV1925,week_18,94.65272740914888
ASV1925,week_19,91.10918936726584
ASV1925,week_20,91.49800719354525
ASV1925,week_21,94.57883998834158
ASV1925,week_22,95.29180327868852
ASV1925,week_23,76.48676220548943
ASV2362,week_1,28.881571770026483
ASV2362,week_2,29.714238159140322
ASV2362,week_3,35.20613929731849
ASV2362,week_4,26.978072254622028
ASV2362,week_5,31.124961047055155
ASV2362,week_6,40.88264353935668
ASV2362,week_7,33.169651170768525
ASV2362,week_8,18.816364618633663
ASV2362,week_9,20.646634521149398
ASV2362,week_10,29.948123522893315
ASV2362,week_11,57.32871542116247
ASV2362,week_12,36.19810347368938
ASV2362,week_13,25.919535644472813
ASV2362,week_14,34.81515866823376
ASV2362,week_15,12.053036866852931
ASV2362,week_16,33.66177139129919
ASV2362,week_17,13.465854753400864
ASV2362,week_18,0.267613735837731
ASV2362,week_19,2.6036197417999873
ASV2362,week_20,2.61397880820453
ASV2362,week_21,0.6222675604779948
ASV2362,week_22,0.8786885245901639
ASV2362,week_23,7.082827301433083
ASV2845,week_1,14.510706245227068
ASV2845,week_2,16.75248884311706
ASV2845,week_3,16.64159196935408
ASV2845,week_4,18.16838832725148
ASV2845,week_5,18.79297808247637
ASV2845,week_6,11.315182786255352
ASV2845,week_7,10.95298303390279
ASV2845,week_8,7.534993369677324
ASV2845,week_9,5.629385707005371
ASV2845,week_10,7.273493964088533
ASV2845,week_11,6.963870757663218
ASV2845,week_12,8.770205866457033
ASV2845,week_13,7.2715123469102805
ASV2845,week_14,9.290955960058865
ASV2845,week_15,10.215048529511979
ASV2845,week_16,10.435238076413732
ASV2845,week_17,8.406034701485254
ASV2845,week_18,3.1000675286996975
ASV2845,week_19,4.4793790022031414
ASV2845,week_20,4.33556916496549
ASV2845,week_21,3.0005829204313614
ASV2845,week_22,2.4185792349726776
ASV2845,week_23,2.203546271556959
ASV3033,week_1,5.009471481419036
ASV3033,week_2,1.6238596053220151
ASV3033,week_3,1.380583334386892
ASV3033,week_4,1.4265712679286053
ASV3033,week_5,0.794640074789654
ASV3033,week_6,0.4149742013393347
ASV3033,week_7,0.10095366912679976
ASV3033,week_8,0.18663130494572958
ASV3033,week_9,0.20972989925124463
ASV3033,week_10,0.43639002481048905
ASV3033,week_11,0.784453029024762
ASV3033,week_12,0.27710902569645757
ASV3033,week_13,0.7011209957314397
ASV3033,week_14,0.5037086786042332
ASV3033,week_15,0.025311280069313966
ASV3033,week_16,0.04249599747000573
ASV3033,week_17,0.21176103206667057
ASV3033,week_18,0
ASV3033,week_19,0
ASV3033,week_20,0
ASV3033,week_21,0
ASV3033,week_22,0
ASV3033,week_23,0.28273014330823415
ASV3752,week_1,3.6953654206627067
ASV3752,week_2,13.869903983189255
ASV3752,week_3,15.13078877833546
ASV3752,week_4,8.287122272812462
ASV3752,week_5,12.378726498389945
ASV3752,week_6,6.593478976836097
ASV3752,week_7,7.996902780636499
ASV3752,week_8,1.0765679485290507
ASV3752,week_9,2.2423458387235877
ASV3752,week_10,1.6367077559746208
ASV3752,week_11,3.5892426328019775
ASV3752,week_12,2.917506018768732
ASV3752,week_13,5.691746120397336
ASV3752,week_14,3.58818358699839
ASV3752,week_15,6.100992007476562
ASV3752,week_16,2.625857332041982
ASV3752,week_17,4.110310908132794
ASV3752,week_18,1.19050596503514
ASV3752,week_19,1.5133732781518314
ASV3752,week_20,0.9234956741518422
ASV3752,week_21,1.349460798600991
ASV3752,week_22,1.1366120218579234
ASV3752,week_23,0.18848676220548943
ASV4065,week_1,3.227246129585734
ASV4065,week_2,0.5731881118080913
ASV4065,week_3,0.23136149285055058
ASV4065,week_4,0.43546804546506884
ASV4065,week_5,0.27007375090890207
ASV4065,week_6,0.14271599516961248
ASV4065,week_7,0.12055632332617836
ASV4065,week_8,0.075634792004322
ASV4065,week_9,0.172488141440276
ASV4065,week_10,0.042168024869328156
ASV4065,week_11,0.30786081139085003
ASV4065,week_12,0.24369871763376405
