OTU,week,n
ASV1446,week_1,0.5319896412583061
ASV1446,week_2,0.9289435761002105
ASV1446,week_3,1.6751564915481891
ASV1446,week_4,0.18567306486011792
ASV1446,week_5,0.6543291473892928
ASV1446,week_6,0.1709551571472406
ASV1446,week_7,0.9845510328907129
ASV1446,week_8,0.7641011392053347
ASV1446,week_9,0.8008008008008007
ASV1446,week_10,0.8372331812886282
ASV1446,week_11,0.5275865152463561
ASV1446,week_12,0.7282369936477153
ASV1446,week_13,1.2208701185079138
ASV1446,week_14,0.7933390935511743
ASV1446,week_15,0.843873633333983
ASV1446,week_16,0.6706762157242908
ASV1446,week_17,0.10188487009679062
ASV1446,week_18,0.06657789613848203
ASV1446,week_19,0.26275454346398075
ASV1446,week_20,0.2976827441290348
ASV1446,week_21,0.02914432268594078
ASV1446,week_22,0.008743169398907104
ASV1446,week_23,0.05635664036690117
ASV17,week_1,0.5580872463011664
ASV17,week_2,0.350293759006762
ASV17,week_3,0.0506855216807319
ASV17,week_4,0
ASV17,week_5,0.09032826613791584
ASV17,week_6,0.006575198351816947
ASV17,week_7,0
ASV17,week_8,0
ASV17,week_9,0.023552964729435317
ASV17,week_10,0
ASV17,week_11,0
ASV17,week_12,0
ASV17,week_13,0
ASV17,week_14,0.0117822637656115
ASV17,week_15,0
ASV17,week_16,0
ASV17,week_17,0
ASV17,week_18,0
ASV17,week_19,0
ASV17,week_20,0
ASV17,week_21,0
ASV17,week_22,0
ASV17,week_23,6.768626841307474
ASV1925,week_1,8.971553610503284
ASV1925,week_2,6.702139452388871
ASV1925,week_3,8.530373298867179
ASV1925,week_4,36.46217538577343
ASV1925,week_5,26.153337739590217
ASV1925,week_6,4.5105860693464255
ASV1925,week_7,14.316437464238502
ASV1925,week_8,43.97650140912158
ASV1925,week_9,51.17077862175902
ASV1925,week_10,36.91526963252572
ASV1925,week_11,4.214730692420042
ASV1925,week_12,27.22775216195357
ASV1925,week_13,48.204485802911
ASV1925,week_14,31.03644646924829
ASV1925,week_15,52.32406306639902
ASV1925,week_16,35.97515134728762
ASV1925,week_17,56.06410909518398
ASV1925,week_18,93.48587847781906
ASV1925,week_19,85.85942631924677
ASV1925,week_20,89.70173356421581
ASV1925,week_21,94.55584052226627
ASV1925,week_22,98.52677595628415
ASV1925,week_23,71.51268996074468
ASV2362,week_1,40.07387629735209
ASV2362,week_2,51.67941469903559
ASV2362,week_3,57.474847309865936
ASV2362,week_4,33.39856981558148
ASV2362,week_5,47.506058603216566
ASV2362,week_6,71.0055670012712
ASV2362,week_7,60.80145216344731
ASV2362,week_8,35.65871472234351
ASV2362,week_9,33.29800388623918
ASV2362,week_10,45.062496297612704
ASV2362,week_11,73.21529702822737
ASV2362,week_12,54.374369224071394
ASV2362,week_13,31.199793207667227
ASV2362,week_14,47.855627994658704
ASV2362,week_15,23.66743973027226
ASV2362,week_16,45.087642939104974
ASV2362,week_17,25.914024844233708
ASV2362,week_18,0.2698156843506903
ASV2362,week_19,5.17626450624042
ASV2362,week_20,4.367959219409693
ASV2362,week_21,0.6440895313592913
ASV2362,week_22,0.004371584699453552
ASV2362,week_23,9.213339033775117
ASV2845,week_1,18.075602754301087
ASV2845,week_2,23.03292317924842
ASV2845,week_3,19.136318710560328
ASV2845,week_4,20.664910299836908
ASV2845,week_5,15.725930821766909
ASV2845,week_6,19.545872967167842
ASV2845,week_7,19.120809738965725
ASV2845,week_8,12.749573294169014
ASV2845,week_9,7.18954248366013
ASV2845,week_10,9.03777422348597
ASV2845,week_11,10.059912366985603
ASV2845,week_12,12.091108780400926
ASV2845,week_13,9.257933667382487
ASV2845,week_14,7.703636792082319
ASV2845,week_15,13.07127126736957
ASV2845,week_16,11.508329046808848
ASV2845,week_17,9.590893060072887
ASV2845,week_18,4.047235265260355
ASV2845,week_19,6.242610028465076
ASV2845,week_20,4.325155164698328
ASV2845,week_21,2.8823735136395428
ASV2845,week_22,1.3136612021857923
ASV2845,week_23,3.7428582533328156
ASV3033,week_1,7.498042679621786
ASV3033,week_2,2.78904777740827
ASV3033,week_3,0.7374743404546491
ASV3033,week_4,1.2420022581859238
ASV3033,week_5,0.8019387530293015
ASV3033,week_6,0.5238241353614168
ASV3033,week_7,0.19533176804845806
ASV3033,week_8,0.37708887389354184
ASV3033,week_9,0.2630081061453611
ASV3033,week_10,0.7325790336275497
ASV3033,week_11,0.4560493606366807
ASV3033,week_12,0.36411849682385766
ASV3033,week_13,0.894774516821761
ASV3033,week_14,0.6421333752258267
ASV3033,week_15,0.05067139599695972
ASV3033,week_16,0.037589522415225736
ASV3033,week_17,0.3997021826874093
ASV3033,week_18,0
ASV3033,week_19,0
ASV3033,week_20,0
ASV3033,week_21,0
ASV3033,week_22,0
ASV3033,week_23,0.35951649889230053
ASV3910,week_1,1.581916367213378
ASV3910,week_2,1.8401507593393194
ASV3910,week_3,5.367596745989508
ASV3910,week_4,5.4472462677204865
ASV3910,week_5,4.172725269883234
ASV3910,week_6,2.1018717397974838
ASV3910,week_7,1.2193437641812837
ASV3910,week_8,1.6175128011749296
ASV3910,week_9,1.4936505132583564
ASV3910,week_10,2.0792607073040696
ASV3910,week_11,2.569376136397508
ASV3910,week_12,1.642491045455445
ASV3910,week_13,2.6544977332378905
ASV3910,week_14,3.4286387557929463
ASV3910,week_15,5.484204166747871
ASV3910,week_16,1.701420488268112
ASV3910,week_17,2.778322034562483
ASV3910,week_18,1.3490784217534515
ASV3910,week_19,2.0954674841252463
ASV3910,week_20,0.8988851489386541
ASV3910,week_21,1.5533923991606435
ASV3910,week_22,0.004371584699453552
ASV3910,week_23,0.3770064907303043
ASV4017,week_1,0.24290847770662274
ASV4017,week_2,0.3547278572220375
ASV4017,week_3,0.13178235636990293
ASV4017,week_4,0.14301844185171245
ASV4017,week_5,0.11456267900418594
ASV4017,week_6,0.3462937798623592
ASV4017,week_7,0.23084663496635954
ASV4017,week_8,0.04763227880760529
ASV4017,week_9,0.11972757070796286
ASV4017,week_10,0.11255257389965048
ASV4017,week_11,0.28316790366329847
ASV4017,week_12,0.12467100706469039
ASV4017,week_13,0.38177046051061797
ASV4017,week_14,0.306338857905899
ASV4017,week_15,0.13252518953051
ASV4017,week_16,0.00989197958295414
ASV4017,week_17,0.1156001410713586
ASV4017,week_18,0
ASV4017,week_19,0
ASV4017,week_20,0.005836916551549702
ASV4017,week_21,0
ASV4017,week_22,0
ASV4017,week_23,0
ASV4065,week_1,2.417039728584908
ASV4065,week_2,0.2527435982707017
ASV4065,week_3,0.21034491497503738
ASV4065,week_4,0.28352778823234226
ASV4065,week_5,0.5375633399427187
ASV4065,week_6,0.08986104414149827
ASV4065,week_7,0.10259850442949313
ASV4065,week_8,0.15282022784106697
ASV4065,week_9,0.12365306482953542
ASV4065,week_10,0.08490808206464862
ASV4065,week_11,0.4590300754120838
ASV4065,week_12,0.01187342924425623
ASV4065,week_13,0.005965163445478406
ASV4065,week_14,0.5537663969837405
ASV4065,week_15,0.007795599384147649
ASV4065,week_16,0.13057413049499467
ASV4065,week_17,0.3565970453387672
ASV4065,week_18,0
ASV4065,week_19,0
ASV4065,week_20,0
ASV4065,week_21,0
ASV4065,week_22,0
ASV4065,week_23,0
ASV509,week_1,20.04898319715737
ASV509,week_2,12.069615341979825
ASV509,week_3,6.685420309688538
ASV509,week_4,2.1728766779575963
ASV509,week_5,4.243225380039656
ASV509,week_6,1.6985929075527113
ASV509,week_7,3.028628928832153
ASV509,week_8,4.656055253443417
ASV509,week_9,5.5172819878702235
ASV509,week_10,5.1379262681910625
ASV509,week_11,8.214849921011059
ASV509,week_12,3.4353788613381355
ASV509,week_13,6.179909329515628
ASV509,week_14,7.668290000785484
ASV509,week_15,4.41815595096568
ASV509,week_16,4.878724330312982
ASV509,week_17,4.678866726752616
ASV509,week_18,0.7814142546779732
ASV509,week_19,0.36347711845850667
ASV509,week_20,0.40274724205692936
ASV509,week_21,0.3351597108883189
ASV509,week_22,0.14207650273224043
ASV509,week_23,7.969606280850402
