OTU,week,n
Actinobacteriota,week_1,3.7682943509779783
Actinobacteriota,week_2,13.947653709152858
Actinobacteriota,week_3,15.184711137880841
Actinobacteriota,week_4,8.40188850792538
Actinobacteriota,week_5,12.568198929444405
Actinobacteriota,week_6,6.849120196095597
Actinobacteriota,week_7,8.32267824898736
Actinobacteriota,week_8,1.4931341187485372
Actinobacteriota,week_9,2.4156853555178004
Actinobacteriota,week_10,1.961186278529452
Actinobacteriota,week_11,4.112045147257657
Actinobacteriota,week_12,3.384236837994063
Actinobacteriota,week_13,6.124961829805258
Actinobacteriota,week_14,3.9801481076222665
Actinobacteriota,week_15,6.160828830229756
Actinobacteriota,week_16,2.943021227385876
Actinobacteriota,week_17,4.166341653666147
Actinobacteriota,week_18,1.1898810118988101
Actinobacteriota,week_19,1.5353111268895543
Actinobacteriota,week_20,0.9291115128190176
Actinobacteriota,week_21,1.3537735161680486
Actinobacteriota,week_22,1.1366120218579234
Actinobacteriota,week_23,0.18848676220548943
Bacteroidota,week_1,20.071516501553432
Bacteroidota,week_2,10.119250425894379
Bacteroidota,week_3,6.695778748180495
Bacteroidota,week_4,4.801235636276003
Bacteroidota,week_5,3.3993749935539768
Bacteroidota,week_6,3.337564562724328
Bacteroidota,week_7,2.853935874286272
Bacteroidota,week_8,2.9082468596395414
Bacteroidota,week_9,4.0443689339348134
Bacteroidota,week_10,3.194127179367032
Bacteroidota,week_11,7.8816648051260945
Bacteroidota,week_12,4.417278550226527
Bacteroidota,week_13,7.13955023197628
Bacteroidota,week_14,6.472381250122121
Bacteroidota,week_15,2.408350503440501
Bacteroidota,week_16,4.863874242929104
Bacteroidota,week_17,2.684282371294852
Bacteroidota,week_18,0.644935506449355
Bacteroidota,week_19,0.17081879830004423
Bacteroidota,week_20,0.4742744960833479
Bacteroidota,week_21,0.43425673607974
Bacteroidota,week_22,0.26994535519125684
Bacteroidota,week_23,8.78115132377945
Campilobacterota,week_1,0.6985559919495086
Campilobacterota,week_2,0.41505343038562803
Campilobacterota,week_3,0.09662199467951614
Campilobacterota,week_4,0.01314506676598495
Campilobacterota,week_5,0.05981909879433575
Campilobacterota,week_6,0.003282850389564913
Campilobacterota,week_7,0.007808306085598555
Campilobacterota,week_8,0
Campilobacterota,week_9,0.011717148046165563
Campilobacterota,week_10,0.010738202620121439
Campilobacterota,week_11,0
Campilobacterota,week_12,0.014646149039212623
Campilobacterota,week_13,0
Campilobacterota,week_14,0.11039684245491314
Campilobacterota,week_15,0
Campilobacterota,week_16,0.008820243438718909
Campilobacterota,week_17,9.750390015600624e-4
Campilobacterota,week_18,0
Campilobacterota,week_19,0
Campilobacterota,week_20,0
Campilobacterota,week_21,0
Campilobacterota,week_22,0
Campilobacterota,week_23,4.946320136021375
Firmicutes,week_1,47.68939171893624
Firmicutes,week_2,47.73011202312736
Firmicutes,week_3,52.83089896099985
Firmicutes,week_4,46.27939839411101
Firmicutes,week_5,50.352210728245964
Firmicutes,week_6,52.45447780793137
Firmicutes,week_7,44.04958274364355
Firmicutes,week_8,26.35172037138176
Firmicutes,week_9,26.39189954498408
Firmicutes,week_10,37.48706534684395
Firmicutes,week_11,64.61701252130973
Firmicutes,week_12,44.96563037025465
Firmicutes,week_13,33.47649208522542
Firmicutes,week_14,44.14017468102151
Firmicutes,week_15,22.25634646036621
Firmicutes,week_16,43.77290813226445
Firmicutes,week_17,22.065132605304214
Firmicutes,week_18,3.365913408659134
Firmicutes,week_19,7.079718869303039
Firmicutes,week_20,6.95278636266449
Firmicutes,week_21,3.62269210031622
Firmicutes,week_22,3.2972677595628412
Firmicutes,week_23,9.569103716298276
Fusobacteriota,week_1,3.1791625144107702
Fusobacteriota,week_2,0.5688916421454752
Fusobacteriota,week_3,0.22963409125131756
Fusobacteriota,week_4,0.43269178104700456
Fusobacteriota,week_5,0.26815458080219473
Fusobacteriota,week_6,0.14225685021447956
Fusobacteriota,week_7,0.12005270606607779
Fusobacteriota,week_8,0.07509557618787548
Fusobacteriota,week_9,0.17185150467709492
Fusobacteriota,week_10,0.0419766102422929
Fusobacteriota,week_11,0.30568455705131975
Fusobacteriota,week_12,0.24214966411498204
Fusobacteriota,week_13,0.07486283355825017
Fusobacteriota,week_14,0.3390062330252643
Fusobacteriota,week_15,0.0038875714341251024
Fusobacteriota,week_16,0.09408259667966835
Fusobacteriota,week_17,0.17940717628705147
Fusobacteriota,week_18,0
Fusobacteriota,week_19,0
Fusobacteriota,week_20,0
Fusobacteriota,week_21,0
Fusobacteriota,week_22,0
Fusobacteriota,week_23,0
Myxococcota,week_1,0
Myxococcota,week_2,0.007227298539053223
Myxococcota,week_3,0.03764493299201927
Myxococcota,week_4,0
Myxococcota,week_5,0.058787735022019616
Myxococcota,week_6,0.003282850389564913
Myxococcota,week_7,0.03416133912449368
Myxococcota,week_8,0.1618943590543809
Myxococcota,week_9,0.024410725096178258
Myxococcota,week_10,0.019524004763857163
Myxococcota,week_11,0.08083005114337781
Myxococcota,week_12,0.06541946570848306
Myxococcota,week_13,0.25315458190092494
Myxococcota,week_14,0.4562418179331366
Myxococcota,week_15,0.0038875714341251024
Myxococcota,week_16,0.10192281306964074
Myxococcota,week_17,0.015600624024960999
Myxococcota,week_18,0.0324967503249675
Myxococcota,week_19,0.004116115621687813
Myxococcota,week_20,0
Myxococcota,week_21,0
Myxococcota,week_22,0
Myxococcota,week_23,0
Patescibacteria,week_1,0.3966625632608399
Patescibacteria,week_2,0.272572402044293
Patescibacteria,week_3,0.42162324951061586
Patescibacteria,week_4,2.4055472181752457
Patescibacteria,week_5,0.20111593560164603
Patescibacteria,week_6,0.014225685021447955
Patescibacteria,week_7,0.009760382606998195
Patescibacteria,week_8,0.0565654989467114
Patescibacteria,week_9,0.07616146230007616
Patescibacteria,week_10,0.12983463167965012
Patescibacteria,week_11,0.044089118805478805
Patescibacteria,week_12,0.022457428526792687
Patescibacteria,week_13,0.6570198682020114
Patescibacteria,week_14,0.1885538990601614
Patescibacteria,week_15,0.02138164288768806
Patescibacteria,week_16,0.041161136047354906
Patescibacteria,week_17,0.05850234009360375
Patescibacteria,week_18,0.029997000299970003
Patescibacteria,week_19,0.017493491392173207
Patescibacteria,week_20,0.006803117771687368
Patescibacteria,week_21,0
Patescibacteria,week_22,0
Patescibacteria,week_23,0
Proteobacteria,week_1,23.207690954921155
Proteobacteria,week_2,26.624335346652213
Proteobacteria,week_3,24.00868343121016
Proteobacteria,week_4,37.549978639266506
Proteobacteria,week_5,32.91391206592477
Proteobacteria,week_6,37.17937494528583
Proteobacteria,week_7,44.59030794007125
Proteobacteria,week_8,68.88604977763907
Proteobacteria,week_9,66.77700314410139
Proteobacteria,week_10,57.08135652785099
Proteobacteria,week_11,22.895479395685143
Proteobacteria,week_12,46.83154975785034
Proteobacteria,week_13,52.07399600074862
Proteobacteria,week_14,44.17925320932414
Proteobacteria,week_15,69.06465031294951
Proteobacteria,week_16,47.806699464905236
Proteobacteria,week_17,70.82098283931357
Proteobacteria,week_18,94.73677632236776
Proteobacteria,week_19,91.19048354068265
Proteobacteria,week_20,91.62536202305284
Proteobacteria,week_21,94.58927764743599
Proteobacteria,week_22,95.29617486338799
Proteobacteria,week_23,76.51493806169542
Spirochaetota,week_1,0.7073490044355862
Spirochaetota,week_2,0.2632801610655103
Spirochaetota,week_3,0.19951814485770214
Spirochaetota,week_4,0.0766795561349122
Spirochaetota,week_5,0.06497591765591641
Spirochaetota,week_6,0.004377133852753217
Spirochaetota,week_7,0
Spirochaetota,week_8,0
Spirochaetota,week_9,0.006835003026929912
Spirochaetota,week_10,0.004881001190964291
Spirochaetota,week_11,0
Spirochaetota,week_12,0.01562255897516013
Spirochaetota,week_13,0
Spirochaetota,week_14,0
Spirochaetota,week_15,0
Spirochaetota,week_16,0
Spirochaetota,week_17,0
Spirochaetota,week_18,0
Spirochaetota,week_19,0
Spirochaetota,week_20,0
Spirochaetota,week_21,0
Spirochaetota,week_22,0
Spirochaetota,week_23,0
Verrucomicrobiota,week_1,0.28137639955448734
Verrucomicrobiota,week_2,0.05162356099323731
Verrucomicrobiota,week_3,0.2948853084374843
Verrucomicrobiota,week_4,0.039435200297954845
Verrucomicrobiota,week_5,0.11345001495477469
Verrucomicrobiota,week_6,0.012037118095071346
Verrucomicrobiota,week_7,0.011712459128397834
