OTU,week,n
Acidobacteriota,week_1,0.009921225469770027
Acidobacteriota,week_2,0.04859730505853766
Acidobacteriota,week_3,0.20326223337515684
Acidobacteriota,week_4,0
Acidobacteriota,week_5,0.017519654862799203
Acidobacteriota,week_6,0.028445144632620017
Acidobacteriota,week_7,0.30050539543778176
Acidobacteriota,week_8,0.13684436885422166
Acidobacteriota,week_9,0.09579667644183773
Acidobacteriota,week_10,0.1133122338139335
Acidobacteriota,week_11,0.23198449521348447
Acidobacteriota,week_12,0.226076788150458
Acidobacteriota,week_13,0.23516500744689192
Acidobacteriota,week_14,0.01368229706221536
Acidobacteriota,week_15,0
Acidobacteriota,week_16,0.1192361070388397
Acidobacteriota,week_17,0.15805494848579457
Acidobacteriota,week_18,0
Acidobacteriota,week_19,0.03498567773817594
Acidobacteriota,week_20,0.02332769580684668
Acidobacteriota,week_21,0
Acidobacteriota,week_22,0.004371393600279769
Acidobacteriota,week_23,0.009715718088723936
Actinobacteriota,week_1,1.8036787904041907
Actinobacteriota,week_2,2.217804285398719
Actinobacteriota,week_3,5.540777917189461
Actinobacteriota,week_4,5.580044079342817
Actinobacteriota,week_5,4.307645139390754
Actinobacteriota,week_6,2.4769156710866045
Actinobacteriota,week_7,1.9240150642964466
Actinobacteriota,week_8,2.4006412136140596
Actinobacteriota,week_9,1.6754643206256108
Actinobacteriota,week_10,2.559293556831946
Actinobacteriota,week_11,3.5061960415810183
Actinobacteriota,week_12,2.4770999805106215
Actinobacteriota,week_13,3.184526142509995
Actinobacteriota,week_14,3.836907019018393
Actinobacteriota,week_15,5.612602100350059
Actinobacteriota,week_16,1.9449168279286146
Actinobacteriota,week_17,2.8859662816109894
Actinobacteriota,week_18,1.348889356036718
Actinobacteriota,week_19,2.14068615660464
Actinobacteriota,week_20,0.9097801364670205
Actinobacteriota,week_21,1.5533923991606435
Actinobacteriota,week_22,0.004371393600279769
Actinobacteriota,week_23,0.37696986184248876
Bacteroidota,week_1,19.81665575331865
Bacteroidota,week_2,12.02562403357632
Bacteroidota,week_3,6.6198243412797995
Bacteroidota,week_4,2.1689040272490483
Bacteroidota,week_5,4.217856908218908
Bacteroidota,week_6,1.6957682377138856
Bacteroidota,week_7,2.995297285694772
Bacteroidota,week_8,4.586241276171486
Bacteroidota,week_9,5.495601173020527
Bacteroidota,week_10,5.095143203219631
Bacteroidota,week_11,8.093028719093205
Bacteroidota,week_12,3.383356070941337
Bacteroidota,week_13,6.0907736928745
Bacteroidota,week_14,7.63276714685014
Bacteroidota,week_15,4.40879035394788
Bacteroidota,week_16,4.820266228816044
Bacteroidota,week_17,4.659694036840462
Bacteroidota,week_18,0.7813047438862029
Bacteroidota,week_19,0.3629764065335753
Bacteroidota,week_20,0.4024027526681052
Bacteroidota,week_21,0.3351597108883189
Bacteroidota,week_22,0.1420702920090925
Bacteroidota,week_23,7.968831976371374
Campilobacterota,week_1,0.5516201361192135
Campilobacterota,week_2,0.34901700905677047
Campilobacterota,week_3,0.05018820577164366
Campilobacterota,week_4,0
Campilobacterota,week_5,0.08978823117184591
Campilobacterota,week_6,0.006564264145989235
Campilobacterota,week_7,0
Campilobacterota,week_8,0
Campilobacterota,week_9,0.02346041055718475
Campilobacterota,week_10,0
Campilobacterota,week_11,0
Campilobacterota,week_12,0
Campilobacterota,week_13,0
Campilobacterota,week_14,0.011727683196184594
Campilobacterota,week_15,0
Campilobacterota,week_16,0
Campilobacterota,week_17,0
Campilobacterota,week_18,0
Campilobacterota,week_19,0
Campilobacterota,week_20,0
Campilobacterota,week_21,0
Campilobacterota,week_22,0
Campilobacterota,week_23,6.767969220605095
Chloroflexi,week_1,0
Chloroflexi,week_2,0.053015241882041084
Chloroflexi,week_3,0.02509410288582183
Chloroflexi,week_4,0.01753155680224404
Chloroflexi,week_5,0.021899568578499003
Chloroflexi,week_6,0.07220690560588158
Chloroflexi,week_7,0.2458680508127305
Chloroflexi,week_8,0.3557953590209763
Chloroflexi,week_9,0.093841642228739
Chloroflexi,week_10,0.14652444027663816
Chloroflexi,week_11,0.4316673518529395
Chloroflexi,week_12,0.47748976807639837
Chloroflexi,week_13,0.03331504272164302
Chloroflexi,week_14,0.04104689118664608
Chloroflexi,week_15,0
Chloroflexi,week_16,0.11728141675951445
Chloroflexi,week_17,0.11317514829847018
Chloroflexi,week_18,0
Chloroflexi,week_19,0.013119629151815974
Chloroflexi,week_20,0.009719873252852783
Chloroflexi,week_21,0
Chloroflexi,week_22,0
Chloroflexi,week_23,0
Firmicutes,week_1,64.9006885330476
Firmicutes,week_2,77.2189087696046
Firmicutes,week_3,76.5897114178168
Firmicutes,week_4,55.21188138649569
Firmicutes,week_5,63.65109607340735
Firmicutes,week_6,90.94569165463217
Firmicutes,week_7,79.25732237984663
Firmicutes,week_8,48.05974234160264
Firmicutes,week_9,40.598240469208214
Firmicutes,week_10,54.2511624272262
Firmicutes,week_11,82.48957538027838
Firmicutes,week_12,65.82927304618983
Firmicutes,week_13,40.75997491573254
Firmicutes,week_14,55.94104884580051
Firmicutes,week_15,36.711396343835084
Firmicutes,week_16,55.958873316523
Firmicutes,week_17,35.75749297533562
Firmicutes,week_18,4.3164459393174965
Firmicutes,week_19,11.403144337786719
Firmicutes,week_20,8.6953986120021
Firmicutes,week_21,3.5264630449988346
Firmicutes,week_22,1.3179751704843505
Firmicutes,week_23,13.314420068787284
Fusobacteriota,week_1,2.389031093120622
Fusobacteriota,week_2,0.25182239893969516
Fusobacteriota,week_3,0.20828105395232122
Fusobacteriota,week_4,0.2830094169505109
Fusobacteriota,week_5,0.5343494733153757
Fusobacteriota,week_6,0.08971160999518621
Fusobacteriota,week_7,0.10146935430366656
Fusobacteriota,week_8,0.1505288057396438
Fusobacteriota,week_9,0.12316715542521994
Fusobacteriota,week_10,0.08400734575860587
Fusobacteriota,week_11,0.4522229400364127
