OTU,week,n
Actinobacteriota,week_1,5.7535422928295405
Actinobacteriota,week_2,24.34347563705737
Actinobacteriota,week_3,24.87303263438427
Actinobacteriota,week_4,10.60860072517447
Actinobacteriota,week_5,19.942625190273603
Actinobacteriota,week_6,11.212929752427609
Actinobacteriota,week_7,14.656093910947856
Actinobacteriota,week_8,0.5887038800054402
Actinobacteriota,week_9,3.1493455905266434
Actinobacteriota,week_10,1.3607693505684473
Actinobacteriota,week_11,4.684989923182522
Actinobacteriota,week_12,4.271757745601744
Actinobacteriota,week_13,9.033336611269545
Actinobacteriota,week_14,4.123046875
Actinobacteriota,week_15,6.709023082303567
Actinobacteriota,week_16,3.9355572106150287
Actinobacteriota,week_17,5.428932284076557
Actinobacteriota,week_18,1.1020408163265307
Actinobacteriota,week_19,0.9967358358591746
Actinobacteriota,week_20,0.9481251214299592
Actinobacteriota,week_21,1.154148815248754
Actinobacteriota,week_22,2.268852459016393
Actinobacteriota,week_23,0
Bacteroidota,week_1,20.603848706038487
Bacteroidota,week_2,8.481769160388561
Bacteroidota,week_3,6.783325790717553
Bacteroidota,week_4,6.856017778470895
Bacteroidota,week_5,2.673588072284454
Bacteroidota,week_6,4.975505205143907
Bacteroidota,week_7,2.6995510465862047
Bacteroidota,week_8,1.235695272882706
Bacteroidota,week_9,2.5923184792770333
Bacteroidota,week_10,1.292633546176608
Bacteroidota,week_11,7.614569033501767
Bacteroidota,week_12,5.425813482796201
Bacteroidota,week_13,8.142393549021536
Bacteroidota,week_14,5.3125
Bacteroidota,week_15,0.4099634724489003
Bacteroidota,week_16,4.893967308219984
Bacteroidota,week_17,0.7092198581560284
Bacteroidota,week_18,0.5694849368318756
Bacteroidota,week_19,0
Bacteroidota,week_20,0.5459490965611036
Bacteroidota,week_21,0.5333566494710151
Bacteroidota,week_22,0.39781420765027325
Bacteroidota,week_23,9.592554452367537
Campilobacterota,week_1,0.8528826261758851
Campilobacterota,week_2,0.4749946465767292
Campilobacterota,week_3,0.143309699803892
Campilobacterota,week_4,0.02339272486256774
Campilobacterota,week_5,0.033175910386011476
Campilobacterota,week_6,0
Campilobacterota,week_7,0.015548170174722563
Campilobacterota,week_8,0
Campilobacterota,week_9,0
Campilobacterota,week_10,0.021414109951720918
Campilobacterota,week_11,0
Campilobacterota,week_12,0.02919196637085474
Campilobacterota,week_13,0
