SampleID	id_manifest	location	week	T	PMI	FDD	location_week	pig	rep 	snow_depth
S11	P1E1-1	Exterior	week_1	7.3	1	22.9	Exterior_week_1	Pig1	1	2
S1	P1E1-10	Exterior	week_10	-15.1	10	794.3	Exterior_week_10	Pig1	1	30
S2	P1E1-11	Exterior	week_11	-10.3	11	895.3	Exterior_week_11	Pig1	1	50
S3	P1E1-12	Exterior	week_12	-7.1	12	991.2	Exterior_week_12	Pig1	1	55
S4	P1E1-13	Exterior	week_13	-8.2	13	1099.9	Exterior_week_13	Pig1	1	65
S5	P1E1-14	Exterior	week_14	-9.3	14	1208.7	Exterior_week_14	Pig1	1	45
S6	P1E1-15	Exterior	week_15	-7.8	15	1316.2	Exterior_week_15	Pig1	1	70
S7	P1E1-16	Exterior	week_16	-5.9	16	1377.7	Exterior_week_16	Pig1	1	70
S8	P1E1-17	Exterior	week_17	-6.4	17	1441	Exterior_week_17	Pig1	1	80
S9	P1E1-18	Exterior	week_18	-5.3	18	1421.2	Exterior_week_18	Pig1	1	20
S10	P1E1-19	Exterior	week_19	1.3	19	1437.5	Exterior_week_19	Pig1	1	10
S15	P1E1-2	Exterior	week_2	6.3	2	51.5	Exterior_week_2	Pig1	1	2
S12	P1E1-20	Exterior	week_20	2	20	1430.6	Exterior_week_20	Pig1	1	0
S13	P1E1-22	Exterior	week_22	2.4	22	1441.4	Exterior_week_22	Pig1	1	5
S14	P1E1-23	Exterior	week_23	6	23	1436.3	Exterior_week_23	Pig1	1	0
S16	P1E1-3	Exterior	week_3	4.6	3	80.4	Exterior_week_3	Pig1	1	0
S17	P1E1-4	Exterior	week_4	5.2	4	129.7	Exterior_week_4	Pig1	1	2
S18	P1E1-5	Exterior	week_5	-7.6	5	228.9	Exterior_week_5	Pig1	1	5
S19	P1E1-6	Exterior	week_6	-8	6	282.7	Exterior_week_6	Pig1	1	6
S20	P1E1-7	Exterior	week_7	-12	7	452.4	Exterior_week_7	Pig1	1	7
S21	P1E1-8	Exterior	week_8	-11.3	8	596.8	Exterior_week_8	Pig1	1	10
S22	P1E1-9	Exterior	week_9	-14.3	9	661.1	Exterior_week_9	Pig1	1	20
S33	P1E2-1	Exterior	week_1	7.3	1	22.9	Exterior_week_1	Pig1	2	2
S23	P1E2-10	Exterior	week_10	-15.1	10	794.3	Exterior_week_10	Pig1	2	30
S24	P1E2-11	Exterior	week_11	-10.3	11	895.3	Exterior_week_11	Pig1	2	50
S25	P1E2-12	Exterior	week_12	-7.1	12	991.2	Exterior_week_12	Pig1	2	55
S26	P1E2-13	Exterior	week_13	-8.2	13	1099.9	Exterior_week_13	Pig1	2	65
S27	P1E2-14	Exterior	week_14	-9.3	14	1208.7	Exterior_week_14	Pig1	2	45
S28	P1E2-15	Exterior	week_15	-7.8	15	1316.2	Exterior_week_15	Pig1	2	70
S29	P1E2-16	Exterior	week_16	-5.9	16	1377.7	Exterior_week_16	Pig1	2	70
S30	P1E2-17	Exterior	week_17	-6.4	17	1441	Exterior_week_17	Pig1	2	80
S31	P1E2-18	Exterior	week_18	-5.3	18	1421.2	Exterior_week_18	Pig1	2	20
S32	P1E2-19	Exterior	week_19	1.3	19	1437.5	Exterior_week_19	Pig1	2	10
S37	P1E2-2	Exterior	week_2	6.3	2	51.5	Exterior_week_2	Pig1	2	2
S34	P1E2-20	Exterior	week_20	2	20	1430.6	Exterior_week_20	Pig1	2	0
S36	P1E2-23	Exterior	week_23	6	23	1436.3	Exterior_week_23	Pig1	2	0
S38	P1E2-3	Exterior	week_3	4.6	3	80.4	Exterior_week_3	Pig1	2	0
S39	P1E2-4	Exterior	week_4	5.2	4	129.7	Exterior_week_4	Pig1	2	2
S40	P1E2-5	Exterior	week_5	-7.6	5	228.9	Exterior_week_5	Pig1	2	5
S42	P1E2-7	Exterior	week_7	-12	7	452.4	Exterior_week_7	Pig1	2	7
S43	P1E2-8	Exterior	week_8	-11.3	8	596.8	Exterior_week_8	Pig1	2	10
S44	P1E2-9	Exterior	week_9	-14.3	9	661.1	Exterior_week_9	Pig1	2	20
S55	P1E3-1	Exterior	week_1	7.3	1	22.9	Exterior_week_1	Pig1	3	2
S45	P1E3-10	Exterior	week_10	-15.1	10	794.3	Exterior_week_10	Pig1	3	30
S46	P1E3-11	Exterior	week_11	-10.3	11	895.3	Exterior_week_11	Pig1	3	50
S47	P1E3-12	Exterior	week_12	-7.1	12	991.2	Exterior_week_12	Pig1	3	55
S48	P1E3-13	Exterior	week_13	-8.2	13	1099.9	Exterior_week_13	Pig1	3	65
S49	P1E3-14	Exterior	week_14	-9.3	14	1208.7	Exterior_week_14	Pig1	3	45
S50	P1E3-15	Exterior	week_15	-7.8	15	1316.2	Exterior_week_15	Pig1	3	70
S51	P1E3-16	Exterior	week_16	-5.9	16	1377.7	Exterior_week_16	Pig1	3	70
S52	P1E3-17	Exterior	week_17	-6.4	17	1441	Exterior_week_17	Pig1	3	80
S53	P1E3-18	Exterior	week_18	-5.3	18	1421.2	Exterior_week_18	Pig1	3	20
S54	P1E3-19	Exterior	week_19	1.3	19	1437.5	Exterior_week_19	Pig1	3	10
S59	P1E3-2	Exterior	week_2	6.3	2	51.5	Exterior_week_2	Pig1	3	2
S56	P1E3-20	Exterior	week_20	2	20	1430.6	Exterior_week_20	Pig1	3	0
S57	P1E3-22	Exterior	week_22	2.4	22	1441.4	Exterior_week_22	Pig1	3	5
S58	P1E3-23	Exterior	week_23	6	23	1436.3	Exterior_week_23	Pig1	3	0
S60	P1E3-3	Exterior	week_3	4.6	3	80.4	Exterior_week_3	Pig1	3	0
S62	P1E3-5	Exterior	week_5	-7.6	5	228.9	Exterior_week_5	Pig1	3	5
S63	P1E3-6	Exterior	week_6	-8	6	282.7	Exterior_week_6	Pig1	3	6
S64	P1E3-7	Exterior	week_7	-12	7	452.4	Exterior_week_7	Pig1	3	7
S65	P1E3-8	Exterior	week_8	-11.3	8	596.8	Exterior_week_8	Pig1	3	10
S66	P1E3-9	Exterior	week_9	-14.3	9	661.1	Exterior_week_9	Pig1	3	20
S77	P1I1-1	Interior	week_1	7.3	1	22.9	Interior_week_1	Pig1	1	2
S67	P1I1-10	Interior	week_10	-15.1	10	794.3	Interior_week_10	Pig1	1	30
S68	P1I1-11	Interior	week_11	-10.3	11	895.3	Interior_week_11	Pig1	1	50
S69	P1I1-12	Interior	week_12	-7.1	12	991.2	Interior_week_12	Pig1	1	55
S70	P1I1-13	Interior	week_13	-8.2	13	1099.9	Interior_week_13	Pig1	1	65
S71	P1I1-14	Interior	week_14	-9.3	14	1208.7	Interior_week_14	Pig1	1	45
S72	P1I1-15	Interior	week_15	-7.8	15	1316.2	Interior_week_15	Pig1	1	70
S73	P1I1-16	Interior	week_16	-5.9	16	1377.7	Interior_week_16	Pig1	1	70
S74	P1I1-17	Interior	week_17	-6.4	17	1441	Interior_week_17	Pig1	1	80
S75	P1I1-18	Interior	week_18	-5.3	18	1421.2	Interior_week_18	Pig1	1	20
S76	P1I1-19	Interior	week_19	1.3	19	1437.5	Interior_week_19	Pig1	1	10
S81	P1I1-2	Interior	week_2	6.3	2	51.5	Interior_week_2	Pig1	1	2
S78	P1I1-20	Interior	week_20	2	20	1430.6	Interior_week_20	Pig1	1	0
S79	P1I1-22	Interior	week_22	2.4	22	1441.4	Interior_week_22	Pig1	1	5
S80	P1I1-23	Interior	week_23	6	23	1436.3	Interior_week_23	Pig1	1	0
S82	P1I1-3	Interior	week_3	4.6	3	80.4	Interior_week_3	Pig1	1	0
S83	P1I1-4	Interior	week_4	5.2	4	129.7	Interior_week_4	Pig1	1	2
S84	P1I1-5	Interior	week_5	-7.6	5	228.9	Interior_week_5	Pig1	1	5
